[Mon, 17 Feb 20 11:40:45 +0700] DISPOSISI SENT {"disposisi_id":"dd54cee955e44d4cbc8107a3c7d5306d","dispo_masuk_parent":"\/865ed44d3d614fe0bad1d3b7cd90230d","penerima_id":"955e5b11dad64389b0d9cdb730f08d33","pengirim_id":"1","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:46 +0700] DISPOSISI SENT {"disposisi_id":"8d1aa604c2424c3ca6f2f3ed6c27fbc8","dispo_masuk_parent":"\/4c81a0d1a8f94960ae2a5a375637610e\/f625fa6652ba4eda8d4584b2f6365c5e\/8586f95f0a1442f5a38f83f60b646e6e\/56b715f2d8f04ddc89323ee23e964afc","penerima_id":"1","pengirim_id":"7afb9db7eb7a41ceae7ccee5711b525a","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:46 +0700] DISPOSISI SENT {"disposisi_id":"6e277045d7704f45832d5569417eed73","dispo_masuk_parent":"\/204ddc3a88994c5e8ba14b9082eb6496\/5d426c120e044f78ae76a68df8d969fd\/17090df2cbf245138e029ac9a5160e92","penerima_id":"1","pengirim_id":"7afb9db7eb7a41ceae7ccee5711b525a","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:47 +0700] DISPOSISI SENT {"disposisi_id":"a0c9edc03635463d8c493e8c08820709","dispo_masuk_parent":"\/204ddc3a88994c5e8ba14b9082eb6496\/5d426c120e044f78ae76a68df8d969fd\/17090df2cbf245138e029ac9a5160e92","penerima_id":"1","pengirim_id":"7afb9db7eb7a41ceae7ccee5711b525a","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:47 +0700] DISPOSISI SENT {"disposisi_id":"e5822867b0c64eb09af9ca870c9679dc","dispo_masuk_parent":"\/204ddc3a88994c5e8ba14b9082eb6496\/5d426c120e044f78ae76a68df8d969fd\/17090df2cbf245138e029ac9a5160e92","penerima_id":"1","pengirim_id":"7afb9db7eb7a41ceae7ccee5711b525a","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:47 +0700] DISPOSISI SENT {"disposisi_id":"2cb470df74ce4bfca80e3d7386edc478","dispo_masuk_parent":"\/9bc156a1c8884add9d2d6b081ed925e5","penerima_id":"7afb9db7eb7a41ceae7ccee5711b525a","pengirim_id":"05b9c7c370574d14bc14572bf6b042d2","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:48 +0700] DISPOSISI SENT {"disposisi_id":"68f0776352404e6495390001ca960877","dispo_masuk_parent":"\/9bc156a1c8884add9d2d6b081ed925e5","penerima_id":"7afb9db7eb7a41ceae7ccee5711b525a","pengirim_id":"05b9c7c370574d14bc14572bf6b042d2","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:48 +0700] DISPOSISI SENT {"disposisi_id":"6abb69d72b39492c8c7be6536db0d0bb","dispo_masuk_parent":"\/9bc156a1c8884add9d2d6b081ed925e5","penerima_id":"7afb9db7eb7a41ceae7ccee5711b525a","pengirim_id":"05b9c7c370574d14bc14572bf6b042d2","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:48 +0700] DISPOSISI SENT {"disposisi_id":"02536a6ea5d64955a89539b0cf8ef2d2","dispo_masuk_parent":"\/9bc156a1c8884add9d2d6b081ed925e5","penerima_id":"7afb9db7eb7a41ceae7ccee5711b525a","pengirim_id":"05b9c7c370574d14bc14572bf6b042d2","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:49 +0700] DISPOSISI SENT {"disposisi_id":"eba559015f0e4546a69eefc09abe12a4","dispo_masuk_parent":"\/9bc156a1c8884add9d2d6b081ed925e5","penerima_id":"7afb9db7eb7a41ceae7ccee5711b525a","pengirim_id":"05b9c7c370574d14bc14572bf6b042d2","berkas":0,"tembusan":0}
[Mon, 17 Feb 20 11:40:49 +0700] DISPOSISI SENT {"disposisi_id":"eba559015f0e4546a69eefc09abe12a4","dispo_masuk_parent":"\/9bc156a1c8884add9d2d6b081ed925e5","penerima_id":"1","pengirim_id":"05b9c7c370574d14bc14572bf6b042d2","berkas":0,"tembusan":0}
